customer_id;first_name;last_name;address;postcode;city;country;email;date_of_birth
1;Meredith;Kirk;"7735 Buchanan Inlet
Port Jonville, NC 47203";65370;Floresburgh;Romania;pbrown@example.org;1969-08-25
2;Michael;Paul;"40719 Clark Orchard Apt. 229
Veronicaport, MD 55638";31981;South Maria;Northern Mariana Islands;richardcharles@example.org;1988-05-03
3;Michael;Dickson;"410 Harmon Causeway
Lake Theresamouth, SC 37108";36374;New Nicole;Tanzania;vmueller@example.com;1974-12-16
4;Robin;Robertson;"157 Baker Summit
Lake Lucasmouth, ME 61837";99519;Taylorshire;Benin;phillip59@example.org;1987-02-25
5;Matthew;Wallace;"623 Kelly Skyway
East Nicolebury, WY 65833";64375;Meyersfort;Saint Martin;khammond@example.com;1955-12-09
6;Amanda;Davis;"576 Marissa Mount Suite 596
South Williamfurt, KS 03356";93297;Sherristad;Switzerland;millerrachel@example.net;1987-08-12
7;Michael;Peterson;"622 Conrad Freeway
Lake Jamie, AL 57203";27873;Lake Stacystad;Morocco;jason31@example.org;1969-10-15
8;Daniel;Ali;"36148 Curtis Prairie Suite 123
Amandaton, SD 96132";90397;Lake Tanya;Saint Vincent and the Grenadines;bbailey@example.com;1994-10-22
9;Wendy;Dennis;"468 Samantha Court
Joshuafort, IL 24179";34040;Stewartmouth;Burundi;lynncruz@example.net;1984-09-03
10;Robert;Little;"83017 Christina Court
East Rachel, MO 33224";64889;Smithstad;Croatia;gscott@example.net;2001-09-11
11;Christopher;Sanchez;"1659 Pollard Run
Shelbyland, WV 92421";10848;East Debra;Bermuda;hansonnathaniel@example.net;1966-02-21
12;Victor;Walker;"0145 Mueller Divide Apt. 613
Myerston, TN 56841";92653;West Brianside;Peru;ymcbride@example.org;1983-01-12
13;Jason;Wallace;"469 Cole Rapid Suite 762
West Craigtown, CT 31889";51496;Rodneyside;Mongolia;richardcruz@example.com;2001-03-23
14;John;Gould;"88054 Michelle Shoals Suite 165
Kellytown, ND 75297";33147;Ericport;Latvia;sheltonwilliam@example.com;1956-06-03
15;Gregory;Henderson;"Unit 8725 Box 1193
DPO AE 76550";55191;Port Kyle;Nicaragua;sylviaerickson@example.com;1975-06-10
16;Calvin;Harvey;"11620 Todd Street Suite 862
North Donald, RI 96159";06583;New Shannonstad;French Guiana;ronaldphillips@example.net;1960-12-26
17;Mallory;Green;"229 Rodriguez Glen
South Andrewland, PA 05400";79950;Lake Angelafurt;Trinidad and Tobago;tamiharrison@example.com;1985-10-02
18;Katherine;Jones;"196 Wallace Parkway Apt. 473
Richardland, MD 97338";90203;East Jennifer;Saudi Arabia;andrew44@example.com;1962-08-04
19;Mary;Wilson;"6674 Kevin Creek
Welchmouth, MA 44589";40634;Lake Brittanyville;Botswana;lewisjennifer@example.com;1997-10-04
20;David;Gardner;"866 Lee Parkway Suite 613
New Ianfurt, CT 10135";21521;New Markton;Latvia;richard30@example.net;1981-09-20
